Date,Open,High,Low,Close,Adj Close,Volume
2019-08-30,0.440000,0.460000,0.440000,0.460000,0.460000,1300
2019-09-03,0.450000,0.460000,0.440000,0.440000,0.440000,8900
2019-09-04,0.440000,0.440000,0.440000,0.440000,0.440000,0
2019-09-05,0.430000,0.460000,0.430000,0.460000,0.460000,1700
2019-09-06,0.440000,0.460000,0.440000,0.440000,0.440000,7400
2019-09-09,0.440000,0.470000,0.440000,0.470000,0.470000,32200
2019-09-10,0.480000,0.480000,0.460000,0.470000,0.470000,12000
2019-09-11,0.460000,0.470000,0.460000,0.470000,0.470000,5500
2019-09-12,0.470000,0.470000,0.470000,0.470000,0.470000,0
2019-09-13,0.480000,0.480000,0.430000,0.430000,0.430000,65700
2019-09-16,0.450000,0.510000,0.450000,0.490000,0.490000,90100
2019-09-17,0.500000,0.520000,0.500000,0.520000,0.520000,85600
2019-09-18,0.500000,0.520000,0.470000,0.480000,0.480000,29800
2019-09-19,0.470000,0.470000,0.470000,0.470000,0.470000,3200
2019-09-20,0.480000,0.480000,0.460000,0.460000,0.460000,9200
2019-09-23,0.490000,0.490000,0.400000,0.460000,0.460000,14700
2019-09-24,0.460000,0.460000,0.420000,0.430000,0.430000,18000
2019-09-25,0.450000,0.450000,0.450000,0.450000,0.450000,2200
2019-09-26,0.440000,0.440000,0.430000,0.430000,0.430000,4200
2019-09-27,0.420000,0.420000,0.420000,0.420000,0.420000,4000
2019-09-30,0.440000,0.450000,0.440000,0.450000,0.450000,400
2019-10-01,0.420000,0.420000,0.400000,0.410000,0.410000,3300
2019-10-02,0.410000,0.410000,0.370000,0.390000,0.390000,7900
2019-10-03,0.380000,0.380000,0.380000,0.380000,0.380000,8400
2019-10-04,0.400000,0.420000,0.400000,0.400000,0.400000,21300
2019-10-07,0.420000,0.420000,0.420000,0.420000,0.420000,19500
2019-10-08,0.390000,0.400000,0.390000,0.400000,0.400000,20500
2019-10-09,0.380000,0.390000,0.380000,0.390000,0.390000,1100
2019-10-10,0.390000,0.390000,0.390000,0.390000,0.390000,200
2019-10-11,0.400000,0.410000,0.390000,0.410000,0.410000,53300
2019-10-14,0.400000,0.410000,0.390000,0.390000,0.390000,4200
2019-10-15,0.410000,0.410000,0.410000,0.410000,0.410000,200
2019-10-16,0.420000,0.430000,0.420000,0.430000,0.430000,8100
2019-10-17,0.410000,0.410000,0.390000,0.400000,0.400000,12700
2019-10-18,0.360000,0.390000,0.360000,0.390000,0.390000,2400
2019-10-21,0.380000,0.390000,0.380000,0.380000,0.380000,800
2019-10-22,0.390000,0.400000,0.380000,0.400000,0.400000,8000
2019-10-23,0.400000,0.400000,0.400000,0.400000,0.400000,0
2019-10-24,0.360000,0.380000,0.360000,0.380000,0.380000,8100
2019-10-25,0.360000,0.380000,0.360000,0.380000,0.380000,9300
2019-10-28,0.320000,0.390000,0.320000,0.390000,0.390000,1000
2019-10-29,0.390000,0.390000,0.350000,0.360000,0.360000,33600
2019-10-30,0.360000,0.360000,0.360000,0.360000,0.360000,2000
2019-10-31,0.360000,0.360000,0.360000,0.360000,0.360000,0
2019-11-01,0.350000,0.360000,0.350000,0.360000,0.360000,4800
2019-11-04,0.350000,0.350000,0.350000,0.350000,0.350000,1600
2019-11-05,0.370000,0.370000,0.370000,0.370000,0.370000,1900
2019-11-06,0.350000,0.350000,0.350000,0.350000,0.350000,14700
2019-11-07,0.370000,0.370000,0.370000,0.370000,0.370000,3800
2019-11-08,0.360000,0.370000,0.360000,0.370000,0.370000,4000
2019-11-11,0.360000,0.360000,0.360000,0.360000,0.360000,1000
2019-11-12,0.360000,0.360000,0.350000,0.350000,0.350000,4900
2019-11-13,0.350000,0.350000,0.350000,0.350000,0.350000,100
2019-11-14,0.350000,0.350000,0.350000,0.350000,0.350000,0
2019-11-15,0.350000,0.370000,0.350000,0.370000,0.370000,2100
2019-11-18,0.350000,0.370000,0.340000,0.370000,0.370000,6600
2019-11-19,0.350000,0.350000,0.330000,0.340000,0.340000,13300
2019-11-20,0.330000,0.360000,0.330000,0.360000,0.360000,3500
2019-11-21,0.340000,0.340000,0.330000,0.330000,0.330000,2500
2019-11-22,0.330000,0.330000,0.330000,0.330000,0.330000,500
2019-11-25,0.340000,0.340000,0.330000,0.330000,0.330000,1000
2019-11-26,0.330000,0.340000,0.320000,0.320000,0.320000,7500
2019-11-27,0.340000,0.340000,0.320000,0.320000,0.320000,11300
2019-11-29,0.320000,0.320000,0.320000,0.320000,0.320000,0
2019-12-02,0.340000,0.340000,0.300000,0.310000,0.310000,106200
2019-12-03,0.300000,0.320000,0.300000,0.320000,0.320000,23000
2019-12-04,0.320000,0.320000,0.320000,0.320000,0.320000,0
2019-12-05,0.315000,0.327700,0.315000,0.320248,0.320248,18680
